OPTIMISED TIMETABLE SCHEDULE — GWO v6
======================================================================

SCHEDULE DETAILS:
----------------------------------------------------------------------
11100      | online    | lecture | slot_149           | Sunday  Monday  Tuesday  Wednesday  Thursday | ONLINE   | Ala'A Altarazi
11102      | inperson  | lecture | slot_211           | Monday  Wednesday            | 208      | Dr. Ammar Odeh
11103      | inperson  | lecture | slot_150           | Sunday  Monday  Tuesday  Wednesday  Thursday | 822      | Ala'A Altarazi
11103      | inperson  | lecture | slot_151           | Sunday  Monday  Tuesday  Wednesday  Thursday | 205      | Dr. Osama Al-Haj Hassan
11103      | inperson  | lecture | slot_152           | Sunday  Monday  Tuesday  Wednesday  Thursday | 203      | Dr. Ammar Alrashdan
11103      | inperson  | lecture | slot_153           | Sunday  Monday  Tuesday  Wednesday  Thursday | 205      | Ala'A Altarazi
11151      | inperson  | lab     | slot_154           | Sunday  Tuesday              | it102    | Ashwaq Khalil
11151      | inperson  | lab     | slot_168           | Sunday  Tuesday              | it102    | Ashwaq Khalil
11151      | inperson  | lab     | slot_156           | Sunday  Tuesday              | it101    | Mohammad Awis Lababede
11151      | inperson  | lab     | slot_176           | Wednesday  Thursday          | online   | Narmeen Alhyari
11206      | inperson  | lecture | slot_150           | Sunday  Monday  Tuesday  Wednesday  Thursday | 203      | Dr. Ammar Alrashdan
11206      | inperson  | lecture | slot_152           | Sunday  Monday  Tuesday  Wednesday  Thursday | 207      | Prof. Anas Abu Taleb
11206      | inperson  | lecture | slot_174           | Sunday  Tuesday              | 204      | Dr. Ammar Alrashdan
11206      | inperson  | lecture | slot_163           | Monday  Wednesday            | 704      | Ala'A Altarazi
11206      | inperson  | lecture | slot_159           | Monday  Wednesday            | 308      | Dr. Samer Sawalha
11206      | inperson  | lecture | slot_163           | Monday  Wednesday            | 822      | Dr. Ammar Alrashdan
11206      | inperson  | lecture | slot_172           | Sunday  Monday  Tuesday      | 307      | Dr. Samer Sawalha
11206      | inperson  | lecture | slot_157           | Monday  Wednesday            | 308      | Dr. Samer Sawalha
11206      | inperson  | lecture | slot_178           | Monday  Wednesday            | 302      | Dr. Ammar Alrashdan
11206      | inperson  | lecture | slot_152           | Sunday  Monday  Tuesday  Wednesday  Thursday | 208      | Ala'A Altarazi
